ADDRESS,ABCD,TIMER
2,00001,5311
2,00001,5311
2,00001,5311
9,00001,5311
9,00001,5311
15,00001,5312
15,00001,5312
15,00001,5312
0,00001,5312
14,00001,5313
14,00001,5313
12,00010,5321
12,00010,5321
12,00010,5321
17,00010,5322
17,00010,5322
17,00010,5322
16,00010,5322
16,00010,5322
16,00010,5322
1,00010,5322
1,00010,5322
8,00010,5322
15,00010,5322
15,00010,5322
7,00010,5323
7,00010,5323
7,00010,5323
6,00010,5323
6,00010,5323
6,00010,5323
13,00010,5323
5,00100,5331
0,00010,5533
15,00100,5543
15,00100,5543
15,00100,5543
6,00100,5543
6,00100,5543
6,00100,5543
2,01000,5552
2,01000,5552
2,01000,5552
0,01000,5553
0,01000,5553
0,01000,5553
14,01000,5554
14,01000,5554
14,01000,5554
5,10000,5562
12,10000,5562
12,10000,5562
12,10000,5562
18,10000,5563
18,10000,5563
18,10000,5563
17,10000,5563
17,10000,5563
17,10000,5563
2,10000,5563
2,10000,5563
9,10000,5563
16,10000,5563
16,10000,5563
1,10000,5564
8,10000,5564
8,10000,5564
0,10000,5564
0,10000,5564
0,10000,5564
7,10000,5564
14,10000,5564
14,10000,5564
13,10000,5565
13,00000,5565
13,00000,5565
12,00001,5572
17,00001,5573
2,00001,5573
2,00001,5573
2,00001,5573
9,00001,5573
9,00001,5573
16,00001,5574
13,00000,5877
13,00000,5877
5,00001,5884
17,00001,5886
2,00001,5886
2,00001,5886
9,00001,5886
9,00001,5886
9,00001,5886
16,00001,5886
1,00001,5886
1,00001,5886
0,00001,5887
14,00001,5887
13,00001,5887
13,00000,5887
13,00000,5887
2,00100,5906
15,00100,5907
15,00100,5907
15,00100,5907
0,00100,5907
14,00100,5907
14,00100,5907
14,00100,5907
6,00100,5908
6,00100,5908
5,10000,5926
5,10000,5926
5,10000,5926
12,10000,5926
12,10000,5926
18,10000,5927
18,10000,5927
18,10000,5927
6,00100,6169
5,10000,6187
5,10000,6187
5,10000,6187
12,10000,6187
12,10000,6187
18,10000,6188
18,10000,6188
18,10000,6188
17,10000,6189
17,10000,6189
17,10000,6189
2,10000,6189
9,10000,6189
9,10000,6189
16,10000,6189
1,10000,6189
1,10000,6189
8,10000,6189
0,10000,6190
0,10000,6190
0,10000,6190
14,10000,6190
14,10000,6190
14,10000,6190
13,10000,6190
13,10000,6190
13,00000,6190
5,00001,6198
5,00001,6198
5,00001,6198
17,00001,6199
17,00001,6199
17,00001,6199
2,00001,6199
9,00001,6199
9,00001,6199
1,00001,6200
0,00001,6200
0,00001,6200
0,00001,6200
7,00001,6200
14,00001,6200
14,00001,6200
13,00001,6201
13,00000,6201
13,00000,6201
16,00100,6220
16,00100,6220
16,00100,6220
15,00100,6220
16,00010,6523
16,00010,6523
3,00100,6532
3,00100,6532
3,00100,6532
10,00100,6532
15,00100,6534
15,00100,6534
15,00100,6534
6,00100,6534
6,00100,6534
6,00100,6534
3,01000,6543
3,01000,6543
10,01000,6543
10,01000,6543
10,01000,6543
5,10000,6553
5,10000,6553
5,10000,6553
12,10000,6553
18,10000,6553
18,10000,6553
17,10000,6554
17,10000,6554
2,10000,6554
2,10000,6554
2,10000,6554
9,10000,6554
16,10000,6554
16,10000,6554
1,10000,6554
8,10000,6555
3,01000,6754
10,01000,6755
17,01000,6755
17,01000,6755
8,01000,6756
8,01000,6756
8,01000,6756
7,01000,6756
7,01000,6756
7,01000,6756
6,01000,6757
6,01000,6757
6,01000,6757
13,01000,6757
5,10000,6764
5,10000,6764
18,10000,6765
18,10000,6765
18,10000,6765
2,10000,6766
2,10000,6766
2,10000,6766
9,10000,6766
9,10000,6766
16,10000,6766
1,10000,6766
1,10000,6766
0,10000,6766
14,10000,6767
12,00001,7774
12,00001,7774
12,00001,7774
4,00001,7775
4,00001,7775
4,00001,7775
17,00001,7775
17,00001,7775
17,00001,7775
16,00001,7776
16,00001,7776
16,00001,7776
7,00001,7777
7,00001,7777
7,00001,7777
12,00010,7785
12,00010,7785
12,00010,7785
4,00010,7785
4,00010,7785
4,00010,7785
3,00010,7786
10,00010,7786
10,00010,7786
17,00010,7786
17,00010,7786
17,00010,7786
15,00010,7787
0,00010,7787
0,00010,7787
0,00010,7787
7,00010,7787
15,00001,7986
15,00001,7986
0,00001,7986
0,00001,7986
6,00001,7987
6,00001,7987
6,00001,7987
12,00010,7994
12,00010,7994
12,00010,7994
4,00010,7995
4,00010,7995
4,00010,7995
16,00010,7996
16,00010,7996
16,00010,7996
13,00010,7997
13,00010,7997
13,00000,7997
17,00100,8006
17,00100,8006
9,00100,8006
9,00100,8006
1,00100,8006
1,00100,8006
13,00100,8008
13,00100,8008
13,00000,8008
9,01000,8016
9,01000,8016
9,01000,8016
16,01000,8016
16,01000,8016
1,01000,8017
3,10000,8026
3,10000,8026
3,10000,8026
10,10000,8026
10,10000,8026
16,10000,8027
16,10000,8027
16,10000,8027
15,10000,8028
0,10000,8028
0,10000,8028
7,10000,8028
7,10000,8028
7,10000,8028
6,10000,8028
6,10000,8028
0,10000,8339
3,00001,8348
3,00001,8348
3,00001,8348
10,00001,8348
16,00001,8349
16,00001,8349
16,00001,8349
0,00001,8349
0,00001,8349
0,00001,8349
6,00001,8350
6,00001,8350
6,00001,8350
5,00010,8357
5,00010,8357
5,00010,8357
2,00010,8358
2,00010,8358
2,00010,8358
7,00010,8360
7,00010,8360
13,00010,8360
13,00010,8360
13,00000,8360
12,00100,8368
12,00100,8368
12,00100,8368
4,00100,8368
4,00100,8368
4,00100,8368
17,00100,8369
17,00100,8369
17,00100,8369
9,00100,8369
9,00100,8369
9,00100,8369
16,00100,8369
16,00100,8369
1,00100,8369
7,00100,8370
7,00100,8370
7,00100,8370
7,01000,8380
13,01000,8381
13,01000,8381
13,00000,8381
3,10000,8389
3,10000,8389
3,10000,8389
16,10000,8390
16,10000,8390
16,10000,8390
15,10000,8390
15,10000,8390
15,10000,8390
0,10000,8390
0,10000,8390
3,00001,8400
3,00001,8400
13,01000,8743
13,00000,8743
3,10000,8752
3,10000,8752
3,10000,8752
16,10000,8753
16,10000,8753
15,10000,8753
15,10000,8753
15,10000,8753
0,10000,8753
0,10000,8753
13,10000,8754
13,00000,8754
13,00000,8754
12,00001,8762
12,00001,8762
12,00001,8762
4,00001,8762
3,00001,8762
3,00001,8762
3,00001,8762
16,00001,8763
15,00001,8763
15,00001,8763
15,00001,8763
0,00001,8763
7,00001,8763
7,00001,8763
13,00001,8764
13,00010,8775
13,00000,8775
13,00000,8775
10,00100,8783
17,00100,8783
17,00100,8783
9,00100,8783
9,00100,8783
9,00100,8783
1,00100,8784
10,10000,9066
16,10000,9067
6,10000,9068
10,00001,9076
10,00001,9076
10,00001,9076
16,00001,9077
16,00001,9077
16,00001,9077
15,00001,9077
15,00001,9077
15,00001,9077
6,00001,9078
6,00001,9078
6,00001,9078
12,00010,9086
12,00010,9086
12,00010,9086
4,00010,9086
3,00010,9087
10,00010,9087
10,00010,9087
10,00010,9087
9,00010,9087
9,00010,9087
1,00010,9088
1,00010,9088
15,00010,9088
15,00010,9088
0,00010,9088
0,00010,9088
0,00010,9088
7,00010,9088
6,00010,9089
6,00010,9089
13,00010,9089
13,00000,9089
13,00000,9089
12,00100,9097
4,00100,9097
11,00100,9097
11,00100,9097
11,00100,9097
3,00100,9097
3,00100,9097
10,00100,9097
17,00100,9097
17,00100,9097
17,00100,9097
9,00100,9098
9,00100,9098
1,00100,9098
1,00100,9098
1,00100,9098
15,00100,9099
15,00100,9099
15,00100,9099
0,00100,9099
0,00100,9099
7,00100,9099
6,00100,9099
6,00100,9099
6,00100,9099
12,01000,9107
12,01000,9107
12,01000,9107
4,01000,9108
4,01000,9108
11,01000,9108
11,01000,9108
11,01000,9108
3,01000,9108
10,01000,9108
10,01000,9108
10,01000,9108
9,01000,9109
9,01000,9109
9,01000,9109
1,01000,9109
1,01000,9109
1,01000,9109
15,01000,9109
15,01000,9109
15,01000,9109
0,01000,9109
0,01000,9109
7,01000,9110
6,01000,9110
6,01000,9110
6,01000,9110
10,10000,9119
10,10000,9119
10,10000,9119
16,10000,9119
16,10000,9119
16,10000,9119
6,10000,9120
6,10000,9120
6,10000,9120
10,00001,9129
10,00001,9129
16,00001,9130
16,00001,9130
16,00001,9130
15,00001,9130
15,00001,9130
15,00001,9130
6,00001,9131
6,00001,9131
6,00001,9131
12,00010,9139
12,00010,9139
12,00010,9139
4,00010,9139
4,00010,9139
3,00010,9139
3,00010,9139
3,00010,9139
10,00010,9139
10,00010,9139
9,00010,9140
1,00010,9140
15,00010,9140
0,00010,9140
0,00010,9140
0,00010,9140
7,00010,9140
7,00010,9140
6,00010,9141
13,00010,9141
13,00010,9141
13,00010,9141
12,00100,9149
12,00100,9149
12,00100,9149
4,00100,9150
4,00100,9150
4,00100,9150
11,00100,9150
11,00100,9150
3,00100,9150
10,00100,9150
10,00100,9150
10,00100,9150
17,00100,9150
17,00100,9150
9,00100,9150
9,00100,9150
9,00100,9150
1,00100,9151
1,00100,9151
1,00100,9151
15,00100,9151
0,00100,9151
0,00100,9151
7,00100,9151
7,00100,9151
7,00100,9151
6,00100,9152
6,00100,9152
6,00100,9152
12,01000,9160
12,01000,9160
12,01000,9160
4,01000,9160
11,01000,9160
11,01000,9160
11,01000,9160
3,01000,9161
3,01000,9161
10,01000,9161
10,01000,9161
10,01000,9161
9,01000,9161
1,01000,9161
15,01000,9162
0,01000,9162
0,01000,9162
0,01000,9162
7,01000,9162
7,01000,9162
6,01000,9163
10,10000,9171
10,10000,9171
10,10000,9171
16,10000,9172
16,10000,9172
16,10000,9172
6,10000,9173
6,10000,9173
6,10000,9173
10,00001,9181
16,00001,9182
15,00001,9182
15,00001,9182
15,00001,9182
6,00001,9183
12,00010,9191
12,00010,9191
12,00010,9191
4,00010,9191
4,00010,9191
4,00010,9191
3,00010,9192
3,00010,9192
3,00010,9192
10,00010,9192
9,00010,9192
9,00010,9192
1,00010,9193
1,00010,9193
15,00010,9193
15,00010,9193
0,00010,9193
0,00010,9193
0,00010,9193
7,00010,9193
6,00010,9194
6,00010,9194
13,00010,9194
13,00000,9194
13,00000,9194
12,00100,9202
12,00100,9202
12,00100,9202
4,00100,9202
11,00100,9202
11,00100,9202
3,00100,9202
3,00100,9202
3,00100,9202
10,00100,9202
10,00100,9202
17,00100,9202
9,00100,9203
9,00100,9203
9,00100,9203
1,00100,9203
1,00100,9203
1,00100,9203
15,00100,9204
15,00100,9204
15,00100,9204
0,00100,9204
0,00100,9204
7,00100,9204
6,00100,9204
6,00100,9204
6,00100,9204
12,01000,9212
12,01000,9212
4,01000,9213
4,01000,9213
11,01000,9213
3,01000,9213
3,01000,9213
3,01000,9213
10,01000,9213
9,01000,9214
9,01000,9214
1,01000,9214
1,01000,9214
15,01000,9214
15,01000,9214
0,01000,9214
0,01000,9214
0,01000,9214
7,01000,9214
6,01000,9215
6,01000,9215
10,10000,9224
10,10000,9224
10,10000,9224
16,10000,9224
16,10000,9224
6,10000,9226
6,10000,9226
12,00001,20717
12,00001,20717
12,00001,20717
4,00001,20717
4,00001,20717
4,00001,20717
17,00001,20718
17,00001,20718
17,00001,20718
16,00001,20718
16,00001,20718
16,00001,20718
7,00001,20719
7,00001,20719
7,00001,20719
12,00010,20727
12,00010,20727
12,00010,20727
4,00010,20727
4,00010,20727
4,00010,20727
3,00010,20728
3,00010,20728
3,00010,20728
10,00010,20728
10,00010,20728
17,00010,20728
15,00010,20729
15,00010,20729
0,00010,20729
0,00010,20729
0,00010,20729
15,00001,20928
15,00001,20928
15,00001,20928
0,00001,20928
6,00001,20929
6,00001,20929
6,00001,20929
12,00010,20937
12,00010,20937
12,00010,20937
4,00010,20937
4,00010,20937
4,00010,20937
16,00010,20938
16,00010,20938
16,00010,20938
13,00010,20940
13,00010,20940
13,00000,20940
17,00100,20948
17,00100,20948
9,00100,20948
9,00100,20948
1,00100,20949
1,00100,20949
13,00100,20950
13,00100,20950
13,00000,20950
9,01000,20959
9,01000,20959
9,01000,20959
16,01000,20959
16,01000,20959
1,01000,20959
3,10000,20969
3,10000,20969
10,10000,20969
10,10000,20969
10,10000,20969
16,10000,20969
16,10000,20969
15,10000,20970
15,10000,20970
15,10000,20970
0,10000,20970
0,10000,20970
7,10000,20970
6,10000,20971
6,10000,20971
0,10000,21281
3,00001,21290
3,00001,21290
3,00001,21290
10,00001,21290
16,00001,21291
16,00001,21291
16,00001,21291
0,00001,21291
0,00001,21291
0,00001,21291
6,00001,21292
6,00001,21292
6,00001,21292
5,00010,21299
5,00010,21299
5,00010,21299
2,00010,21301
2,00010,21301
7,00010,21302
7,00010,21302
7,00010,21302
13,00010,21302
13,00010,21302
13,00000,21302
12,00100,21310
12,00100,21310
4,00100,21310
4,00100,21310
4,00100,21310
17,00100,21311
17,00100,21311
17,00100,21311
9,00100,21311
9,00100,21311
9,00100,21311
16,00100,21311
16,00100,21311
1,00100,21312
7,00100,21312
7,00100,21312
7,01000,21322
7,01000,21322
7,01000,21322
13,01000,21323
13,01000,21323
13,00000,21323
3,10000,21331
3,10000,21331
3,10000,21331
16,10000,21332
16,10000,21332
15,10000,21333
15,10000,21333
0,10000,21333
0,10000,21333
0,10000,21333
3,00001,21343
3,00001,21343
13,00000,21686
3,10000,21694
3,10000,21694
3,10000,21694
16,10000,21695
15,10000,21695
15,10000,21695
15,10000,21695
0,10000,21695
13,10000,21696
13,10000,21696
13,00000,21696
12,00001,21704
12,00001,21704
12,00001,21704
4,00001,21704
4,00001,21704
3,00001,21705
3,00001,21705
16,00001,21705
16,00001,21705
16,00001,21705
15,00001,21706
15,00001,21706
15,00001,21706
0,00001,21706
0,00001,21706
7,00001,21706
13,00001,21707
13,00001,21707
13,00000,21707
13,00010,21717
13,00010,21717
13,00000,21717
10,00100,21725
10,00100,21725
10,00100,21725
17,00100,21725
17,00100,21725
9,00100,21726
1,00100,21726
16,10000,22009
16,10000,22009
16,10000,22009
6,10000,22010
6,10000,22010
6,10000,22010
10,00001,22019
16,00001,22019
16,00001,22019
16,00001,22019
15,00001,22020
6,00001,22020
6,00001,22020
6,00001,22020
12,00010,22028
12,00010,22028
12,00010,22028
4,00010,22029
4,00010,22029
4,00010,22029
3,00010,22029
3,00010,22029
3,00010,22029
10,00010,22029
9,00010,22030
9,00010,22030
1,00010,22030
1,00010,22030
1,00010,22030
15,00010,22030
15,00010,22030
0,00010,22030
7,00010,22030
7,00010,22030
7,00010,22030
6,00010,22031
6,00010,22031
6,00010,22031
13,00010,22031
13,00010,22031
12,00100,22039
12,00100,22039
12,00100,22039
4,00100,22039
11,00100,22039
11,00100,22039
11,00100,22039
3,00100,22040
3,00100,22040
10,00100,22040
10,00100,22040
10,00100,22040
17,00100,22040
9,00100,22040
9,00100,22040
9,00100,22040
1,00100,22041
1,00100,22041
1,00100,22041
15,00100,22041
15,00100,22041
0,00100,22041
7,00100,22041
7,00100,22041
7,00100,22041
6,00100,22042
6,00100,22042
6,00100,22042
12,01000,22050
12,01000,22050
12,01000,22050
4,01000,22050
4,01000,22050
11,01000,22050
3,01000,22050
3,01000,22050
3,01000,22050
10,01000,22050
9,01000,22051
9,01000,22051
1,01000,22051
1,01000,22051
15,01000,22051
15,01000,22051
0,01000,22051
0,01000,22051
0,01000,22051
7,01000,22051
6,01000,22052
6,01000,22052
6,01000,22052
10,10000,22061
10,10000,22061
16,10000,22061
16,10000,22061
6,10000,22063
6,10000,22063
10,00001,22071
10,00001,22071
10,00001,22071
16,00001,22072
16,00001,22072
16,00001,22072
15,00001,22072
15,00001,22072
15,00001,22072
6,00001,22073
6,00001,22073
6,00001,22073
12,00010,22081
12,00010,22081
12,00010,22081
4,00010,22081
4,00010,22081
3,00010,22082
3,00010,22082
10,00010,22082
10,00010,22082
10,00010,22082
9,00010,22082
1,00010,22082
15,00010,22083
15,00010,22083
15,00010,22083
0,00010,22083
7,00010,22083
7,00010,22083
6,00010,22084
6,00010,22084
6,00010,22084
13,00010,22084
12,00100,22092
12,00100,22092
12,00100,22092
4,00100,22092
4,00100,22092
11,00100,22092
3,00100,22092
3,00100,22092
3,00100,22092
10,00100,22092
17,00100,22093
17,00100,22093
9,00100,22093
9,00100,22093
9,00100,22093
1,00100,22093
15,00100,22093
15,00100,22093
15,00100,22093
0,00100,22093
7,00100,22094
7,00100,22094
6,00100,22094
6,00100,22094
6,00100,22094
12,01000,22102
4,01000,22102
11,01000,22102
11,01000,22102
3,01000,22103
3,01000,22103
10,01000,22103
10,01000,22103
10,01000,22103
9,01000,22104
9,01000,22104
9,01000,22104
1,01000,22104
15,01000,22104
0,01000,22104
0,01000,22104
0,01000,22104
7,01000,22104
7,01000,22104
6,01000,22105
6,01000,22105
6,01000,22105
10,10000,22113
10,10000,22113
10,10000,22113
16,10000,22114
6,10000,22115
10,00001,22124
10,00001,22124
10,00001,22124
6,10000,23412
4,00001,23420
4,00001,23420
4,00001,23420
1,00001,23421
1,00001,23421
1,00001,23421
8,00001,23421
7,00001,23422
7,00001,23422
6,00001,23422
6,00001,23422
2,00010,23431
2,00010,23431
2,00010,23431
8,00010,23432
8,00010,23432
8,00010,23432
1,01000,23452
1,01000,23452
8,01000,23452
8,01000,23452
8,01000,23452
5,10000,23461
4,10000,23461
4,10000,23461
4,10000,23461
2,10000,23462
2,10000,23462
2,10000,23462
1,10000,23463
8,10000,23463
8,10000,23463
0,10000,23463
0,10000,23463
7,10000,23463
7,10000,23463
7,10000,23463
6,10000,23464
4,00001,23472
4,00001,23472
4,00001,23472
1,00001,23473
1,00001,23473
1,00001,23473
8,00001,23473
7,00001,23474
7,00001,23474
6,00001,23474
6,00001,23474
6,00001,23474
2,00010,23483
2,00010,23483
2,00010,23483
8,00010,23483
8,00010,23483
8,00010,23483
1,01000,23504
1,01000,23504
8,01000,23504
8,01000,23504
8,01000,23504
5,10000,23512
1,00001,23886
1,00001,23886
1,00001,23886
8,00001,23886
6,00001,23887
6,00001,23887
6,00001,23887
4,00010,23895
4,00010,23895
4,00010,23895
1,00010,23896
1,00010,23896
1,00010,23896
0,00010,23897
0,00010,23897
0,00010,23897
7,00010,23897
7,00010,23897
6,00010,23897
4,00100,23905
4,00100,23905
4,00100,23905
8,00100,23907
0,00100,23907
7,00100,23907
7,00100,23907
7,00100,23907
6,00100,23908
6,00100,23908
6,00100,23908
4,01000,23915
4,01000,23915
0,01000,23917
0,01000,23917
7,01000,23917
7,01000,23917
7,01000,23917
6,01000,23918
6,01000,23918
6,01000,23918
5,10000,23925
4,10000,23926
4,10000,23926
4,10000,23926
2,10000,23927
2,10000,23927
2,10000,23927
1,10000,23927
8,10000,23927
8,10000,23927
0,10000,23928
0,10000,23928
7,10000,23928
7,10000,23928
7,10000,23928
6,10000,23928
4,00001,23936
2,00001,23937
2,00001,23937
2,00001,23937
1,00001,23938
8,00001,23938
8,00001,23938
8,00001,23938
6,00001,23938
6,00001,23938
6,00001,23938
4,00010,23946
4,00010,23946
0,00010,24415
5,00100,24423
5,00100,24423
2,00100,24424
2,00100,24424
2,00100,24424
0,00100,24425
0,00100,24425
5,01000,24433
5,01000,24433
5,01000,24433
2,01000,24435
2,01000,24435
0,01000,24435
0,01000,24435
0,01000,24435
5,10000,24444
5,10000,24444
5,10000,24444
4,10000,24444
